character_name,character_speech
nora ,"['tolv', 'hundrede', 'specier', 'kosted', 'den', 'fire', 'tusend', 'otte', 'hundrede', 'kroner', 'det', 'er', 'mange', 'penge', 'du']"
frulinde ,"['ja', 'men', 'i', 'slige', 'tilfælde', 'er', 'det', 'ialfald', 'en', 'stor', 'lykke', 'at', 'man', 'har', 'dem']"
nora ,"['ja', 'jeg', 'skal', 'sige', 'dig', 'vi', 'fik', 'dem', 'nu', 'af', 'pappa']"
frulinde ,"['nå', 'sådan', 'det', 'var', 'netop', 'på', 'den', 'tid', 'din', 'fader', 'døde', 'tror', 'jeg']"
nora ,"['ja', 'kristine', 'det', 'var', 'netop', 'da', 'og', 'tænk', 'dig', 'jeg', 'kunde', 'ikke', 'rejse', 'til', 'ham', 'og', 'pleje', 'ham', 'jeg', 'gik', 'jo', 'her', 'og', 'vented', 'daglig', 'at', 'lille', 'ivar', 'skulde', 'komme', 'til', 'verden', 'og', 'så', 'havde', 'jeg', 'jo', 'min', 'stakkers', 'dødssyge', 'torvald', 'at', 'passe', 'min', 'kære', 'snille', 'pappa', 'jeg', 'fik', 'aldrig', 'se', 'ham', 'mere', 'kristine', 'å', 'det', 'er', 'det', 'tungeste', 'jeg', 'har', 'oplevet', 'siden', 'jeg', 'blev', 'gift']"
frulinde ,"['jeg', 'ved', 'du', 'holdt', 'meget', 'af', 'ham', 'men', 'så', 'rejste', 'i', 'altså', 'til', 'italien']"
nora ,"['ja', 'da', 'havde', 'vi', 'jo', 'pengene', 'og', 'lægerne', 'skyndte', 'på', 'os', 'så', 'rejste', 'vi', 'en', 'måneds', 'tid', 'efter']"
frulinde ,"['og', 'din', 'mand', 'kom', 'aldeles', 'helbredet', 'tilbage']"
nora ,"['frisk', 'som', 'en', 'fisk']"
frulinde ,"['men', '–', 'doktoren']"
nora ,['hvorledes']
frulinde ,"['jeg', 'synes', 'pigen', 'sagde', 'det', 'var', 'doktoren', 'den', 'herre', 'som', 'kom', 'på', 'samme', 'tid', 'som', 'jeg']"
nora ,"['ja', 'det', 'var', 'doktor', 'rank', 'men', 'han', 'kommer', 'ikke', 'i', 'sygebesøg', 'det', 'er', 'vor', 'nærmeste', 'ven', 'og', 'han', 'ser', 'her', 'indom', 'mindst', 'engang', 'om', 'dagen', 'nej', 'torvald', 'har', 'aldrig', 'havt', 'en', 'syg', 'time', 'siden', 'og', 'børnene', 'er', 'friske', 'og\u200b', 'sunde', 'og', 'jeg', 'også', 'å', 'gud', 'å', 'gud', 'kri', 'stine', 'det', 'er', 'dog', 'vidunderlig', 'dejligt', 'at', 'leve', 'og', 'være', 'lykkelig', '–', '–', 'å', 'men', 'det', 'er', 'dog', 'afsky', 'ligt', 'af', 'mig', '–', 'jeg', 'taler', 'jo', 'bare', 'om', 'mine', 'egne', 'sager', 'å', 'du', 'må', 'ikke', 'være', 'vred', 'på', 'mig', '–', 'sig', 'mig', 'er', 'det', 'virkelig', 'sandt', 'at', 'du', 'ikke', 'holdt', 'af', 'din', 'mand', 'hvorfor', 'tog', 'du', 'ham', 'da']"
frulinde ,"['min', 'moder', 'leved', 'endnu', 'og', 'hun', 'var', 'senge', 'liggende', 'og', 'hjælpeløs', 'og', 'så', 'havde', 'jeg', 'mine', 'to', 'yngre', 'brødre', 'at', 'sørge', 'for', 'jeg', 'syntes', 'ikke', 'det', 'var', 'forsvarligt', 'at', 'vise', 'hans', 'tilbud', 'tilbage']"
nora ,"['nej', 'nej', 'det', 'kan', 'du', 'have', 'ret', 'i', 'han', 'var', 'altså', 'rig', 'dengang']"
frulinde ,"['han', 'var', 'ganske', 'velstående', 'tror', 'jeg', 'men', 'det', 'var', 'usikre', 'forretninger', 'nora', 'da', 'han', 'døde', 'gik', 'det', 'hele', 'overstyr', 'og', 'der', 'blev', 'ingenting', 'til', 'overs']"
nora ,"['og', 'så', '–']"
